rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period
3795,8120608,K00571.05,Kepler-186 f,CONFIRMED,CANDIDATE,0.677,0,0,0,0,129.945392
3796,11968463,K02433.04,,CANDIDATE,CANDIDATE,0.638,0,0,0,0,27.9040511
3797,5026326,K04280.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.39772545
3798,5471574,K02505.02,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,1,12.4246697
3799,5512580,K04281.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,383.00806
3800,11670599,K04282.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.847588864
3801,6359820,K04283.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,331.81534
3802,11872139,K04350.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,1.75649346
3803,5436161,K04351.01,,CANDIDATE,CANDIDATE,,0,0,0,0,0.644322147
3804,2708221,K04352.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.8912501
3805,4571844,K04353.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,17.8075656
3806,5040223,K04354.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.996023763
3807,4571004,K04355.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,36.616669
3808,2859893,K04418.01,,CANDIDATE,CANDIDATE,,0,0,0,0,333.03842
3809,6026737,K02949.02,,CANDIDATE,CANDIDATE,0.757,0,0,0,0,3.75030469
3810,7582691,K04419.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.259819659
3811,7031942,K04420.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,0.566795467
3812,9836563,K04421.01,,CANDIDATE,CANDIDATE,0.978,0,0,0,0,4.72693131
3813,1724719,K04212.02,,CANDIDATE,CANDIDATE,1,0,0,0,0,10.0989634
3814,5632701,K04213.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,3.67515329
3815,10549924,K04214.01,,FALSE POSITIVE,FALSE POSITIVE,0.008,0,0,1,0,0.715825886
3816,9366617,K04215.01,Kepler-1570 b,CONFIRMED,CANDIDATE,0.868,0,0,0,0,26.5487294
3817,6187341,K04216.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.492291661
3818,3353454,K07654.01,,FALSE POSITIVE,FALSE POSITIVE,0.01,1,0,1,0,1.6911935
3819,10156055,K04284.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,2.42803503
3820,8418018,K04285.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,372.94844
3821,5024177,K04286.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.787120016
3822,11081504,K04287.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,13.12297275
3823,4548011,K04288.01,Kepler-1581 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,6.28384079
3824,4571004,K04355.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,21.131609
3825,4571004,K04355.03,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,81.675841
3826,4571004,K04355.04,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,28.5463574
3827,12016267,K02590.02,,CANDIDATE,CANDIDATE,0.536,0,0,0,0,22.7909233
3828,4571004,K04355.05,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,72.563291
3829,8459663,K04356.01,Kepler-1593 b,CONFIRMED,CANDIDATE,0.976,0,0,0,0,174.510276
3830,3550372,K04357.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.681180633
3831,10155321,K04422.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,15.705388
3832,3866536,K04423.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,7.65270746
3833,7046035,K04424.01,Kepler-1603 b,CONFIRMED,CANDIDATE,0.985,0,0,0,0,2.27164952
3834,4679314,K04425.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,3.84835742
3835,8240790,K04426.01,,CANDIDATE,CANDIDATE,,0,0,0,0,369.13236
3836,5702637,K04217.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,1.0388961
3837,8309169,K04218.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,293.76887
3838,4678919,K04219.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.87885327
3839,5563080,K04220.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.785473311
3840,6364067,K04221.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,5.2438982
3841,4548011,K04288.02,,CANDIDATE,CANDIDATE,0.954,0,0,0,0,9.08745206
3842,5983532,K04289.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,441.877824
3843,3439126,K07655.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,2.9761504
3844,8463346,K02529.02,Kepler-436 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,64.0019669
3845,5868793,K04290.01,Kepler-1582 b,CONFIRMED,CANDIDATE,0.914,0,0,0,0,4.83809469
3846,8483021,K04291.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,361.91436
3847,10063208,K04292.01,Kepler-1583 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,9.3281912
3848,7191646,K04358.01,,CANDIDATE,CANDIDATE,0.948,0,0,0,0,106.957467
3849,1575873,K04359.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.629001455
3850,10669994,K04360.01,Kepler-1594 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,2.71603664
3851,7801070,K04361.01,,CANDIDATE,CANDIDATE,0.974,0,0,0,0,75.8781344
3852,11449918,K04362.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,374.59003
3853,4172805,K04427.01,,CANDIDATE,CANDIDATE,0.969,0,0,0,0,147.661729
3854,5126182,K04428.01,,CANDIDATE,CANDIDATE,0.912,0,0,0,0,13.00291716
3855,3750350,K07665.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,319.30633
3856,8949925,K02972.02,,FALSE POSITIVE,FALSE POSITIVE,0.383,0,0,1,0,42.0292298
3857,4584865,K04429.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.75254087
3858,9642018,K04430.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.505111993
3859,9183378,K04222.01,Kepler-1571 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,3.38557445
3860,11188254,K04223.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,2.754024
3861,1724513,K04224.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.975208831
3862,9535876,K04225.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,0.960843605
3863,5817533,K04293.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,4.206109
3864,7596240,K04295.01,Kepler-1584 b,CONFIRMED,CANDIDATE,1,0,0,0,0,13.3997555
3865,7661893,K04296.01,,CANDIDATE,CANDIDATE,0.992,0,0,0,0,2.49385348
3866,12107008,K04297.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,5.93725628
3867,9776794,K04363.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,18.22211768
